,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,host_is_superhost,property_type,bedrooms,beds,guests_included,review_scores_rating,instant_bookable,bathrooms,security_deposit,cleaning_fee,len_amenities
1676,16260783,Deluxe Modern studio room EZS-6 with pool,24496358,Katherine,East Region,Bedok,1.32534,103.91475,Private room,130,3,5,0.14,30,351,f,Bungalow,1.0,1.0,1,96.0,f,1.0,200.0,30.0,22
1677,16265742,"普通房,双人床,光纤网络",106364721,Xiang,Central Region,Geylang,1.3116299999999999,103.89016,Private room,57,1,0,0.0,1,0,f,Apartment,1.0,1.0,1,0.0,f,2.0,0.0,0.0,1
1678,16274109,"Large 1-bed, 2-bath condo unit",21863896,Julie,Central Region,Geylang,1.31234,103.8865,Entire home/apt,105,4,1,0.02,2,0,f,Apartment,1.0,1.0,1,100.0,f,2.0,200.0,0.0,18
1679,16276435,Apartment Style Common room,2311181,Alex,West Region,Bukit Panjang,1.38204,103.77086,Private room,60,3,0,0.0,1,0,f,Apartment,1.0,1.0,1,0.0,t,2.0,0.0,0.0,10
1680,16280294,Cosy Kyoto Suite in Award Winning Shophouse!,15655586,Shuying,Central Region,Geylang,1.3141100000000001,103.88464,Entire home/apt,105,30,77,1.82,12,88,f,Loft,1.0,0.0,1,95.0,f,1.0,250.0,50.0,34
1681,16281344,"Club Street, Chinatown (City Historical Center)",106496050,Bertrand,Central Region,Outram,1.2816299999999998,103.84723000000001,Private room,99,3,1,0.02,1,0,f,Condominium,1.0,1.0,1,100.0,f,1.0,0.0,0.0,14
1682,16281437,Spacious Tokyo Suite in NYTimes Featured Shophouse,15655586,Shuying,Central Region,Geylang,1.31231,103.88356999999999,Entire home/apt,155,30,65,1.53,12,87,f,Loft,1.0,4.0,1,95.0,f,1.0,250.0,50.0,34
1683,16282278,"Spacious Osaka Suite, NYT-featured Shophouse!",15655586,Shuying,Central Region,Geylang,1.31399,103.88331,Entire home/apt,145,30,67,1.57,12,88,f,Loft,1.0,2.0,1,96.0,f,1.0,250.0,50.0,33
1684,16291031,Cosy 1 bedroom apartment (Walk to Aljunied MRT),14521708,Shirley,Central Region,Geylang,1.31494,103.88731,Entire home/apt,92,90,34,0.8,25,0,f,Apartment,1.0,1.0,1,97.0,f,1.0,500.0,0.0,16
1685,16295158,"Sapporo Loft w/ Rooftop Patio, NYT Featured House!",15655586,Shuying,Central Region,Geylang,1.31362,103.88454,Entire home/apt,140,30,59,1.39,12,88,f,Loft,1.0,2.0,1,91.0,f,1.0,250.0,50.0,34
1686,16296968,Cozy Private Room in Brand-New Apartment!,77901085,L A,Central Region,Kallang,1.3181100000000001,103.85256,Private room,43,1,11,0.28,1,0,f,Condominium,1.0,1.0,1,98.0,f,1.0,250.0,25.0,34
1687,16309636,Centre of Chinatown.,49380207,Ong,Central Region,Outram,1.28452,103.84156,Private room,88,90,68,1.61,6,365,f,Condominium,1.0,1.0,1,97.0,t,3.0,0.0,0.0,18
1688,16315170,Cosy Private BR with common toilet,104198651,Vathsala,North Region,Yishun,1.41877,103.84626,Private room,25,2,0,0.0,1,0,f,Apartment,1.0,1.0,1,0.0,f,1.0,0.0,15.0,11
1689,16317734,Cosy Entire Studio at Novena (city),106359670,Gy,Central Region,Novena,1.3171,103.84371,Entire home/apt,123,2,1,0.02,1,0,f,Apartment,0.0,1.0,2,80.0,f,1.0,0.0,80.0,12
1690,16332500,City Studio Apartment /WIFI@ Orchard/ Central Area,61619807,Ong,Central Region,River Valley,1.29463,103.83995,Entire home/apt,135,6,31,0.74,38,1,f,Apartment,0.0,4.0,2,88.0,t,1.0,150.0,0.0,34
1691,16367233,Pasir View Park - 200 Pasir Panjang Road,107188825,Matt,Central Region,Queenstown,1.27931,103.78746,Private room,46,180,0,0.0,1,320,f,Condominium,1.0,1.0,1,0.0,t,1.0,0.0,0.0,14
1692,16370834,Comfortable Chermai (BR2),5423329,Jerome & Jane,North-East Region,Serangoon,1.38575,103.87274000000001,Private room,66,2,19,0.46,2,178,t,Townhouse,1.0,1.0,2,99.0,f,1.0,150.0,30.0,25
1693,16375896,A Comfortable Room At Yew Tee,27816883,Lina,West Region,Choa Chu Kang,1.3976,103.74918000000001,Private room,60,1,39,0.92,1,0,f,Apartment,1.0,1.0,1,92.0,t,1.0,0.0,15.0,26
1694,16381367,Cozy Private Room in Nice Apartment with Pool,26246420,Jordan,Central Region,Bukit Timah,1.33861,103.78076999999999,Entire home/apt,29,90,14,0.33,1,0,f,Condominium,1.0,1.0,1,95.0,f,1.0,0.0,0.0,19
1695,16382475,Casa Sims 201,16305681,Ace Beautiful Homes,Central Region,Geylang,1.3160399999999999,103.88861,Entire home/apt,198,3,11,0.28,10,147,t,Apartment,3.0,4.0,5,96.0,t,3.0,500.0,75.0,21
1696,16383852,Casa Sims302,16305681,Ace Beautiful Homes,Central Region,Geylang,1.3149899999999999,103.88750999999999,Entire home/apt,198,2,3,0.17,10,61,t,Apartment,3.0,3.0,5,87.0,t,3.0,500.0,75.0,19
1697,16388822,1 Bedroom Sky Condo Zsm,29420853,Aaron,Central Region,Novena,1.32914,103.84838,Entire home/apt,130,10,9,0.23,97,365,f,Condominium,1.0,1.0,2,93.0,f,1.0,300.0,30.0,34
1698,16391421,Comfy Studio Apt/ WIFI @ Orchard/Somerset area,61619807,Ong,Central Region,Orchard,1.29998,103.8397,Entire home/apt,130,6,151,3.54,38,351,f,Apartment,0.0,3.0,2,87.0,t,1.0,150.0,0.0,34
1700,16398174,The Hillside Condominium Nearby Hillview MRT SG,51368612,Paulin,West Region,Bukit Batok,1.3518700000000001,103.76852,Private room,36,1,1,0.02,1,181,t,Apartment,1.0,1.0,1,80.0,f,1.0,500.0,23.0,25
1701,16398913,Cosy Master Rm in City Centre! MRT a Stroll away!,56421978,Nancy,Central Region,Kallang,1.3183799999999999,103.85172,Private room,66,3,9,0.3,6,90,f,Apartment,1.0,1.0,1,89.0,t,1.0,150.0,60.0,32
1702,16401676,Comfy 2 Queen Beds Studio Apt@Central/Orchard Area,61619807,Ong,Central Region,River Valley,1.29834,103.83997,Entire home/apt,184,6,84,1.99,38,354,f,Apartment,1.0,2.0,4,88.0,t,1.0,150.0,0.0,34
